url,title_version,model_year,mileage_cleaned,engine_cleaned,transmission,fuel,price_cleaned,description,inspection_score,data_source,mileage,engine,price
https://www.pakwheels.com/used-cars/honda-city-2011-for-sale-in-islamabad-10909806,Honda City 1.3 i-VTEC 2011,2011,120244.0,1300.0,Manual,Petrol,2700000.0,LED Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2011 Registered 2011 1 key available,6.9,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-br-v-2022-for-sale-in-karachi-10782905,Honda BR-V i-VTEC S 2022,2022,33125.0,1500.0,Automatic,Petrol,5500000.0,Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2022 Registered 2022 2 keys available,9.4,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-lahore-10855869,Honda Civic VTi Prosmatec 1.8 i-VTEC 2012,2012,222878.0,1800.0,Automatic,Petrol,3000000.0,Documents available Hard Top without sunroof PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2012 Registered 2013 1 key available Android panel,7.2,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-civic-2002-for-sale-in-rawalpindi-10778379,Honda Civic VTi 1.6 2002,2002,372707.0,1600.0,Manual,Petrol,1400000.0,Army Officer driven PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax Paid Manufacture 2002 Registered 2002 Documents available 2 keys available,5.2,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-karachi-10909673,Honda Civic 1.8 i-VTEC CVT 2017,2017,47862.0,1800.0,Automatic,Petrol,4400000.0,Documents available PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2017 Registered 2017 2 key available,7.9,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-br-v-2018-for-sale-in-lahore-10818665,Honda BR-V i-VTEC S 2018,2018,46170.0,1500.0,Automatic,Petrol,4700000.0,PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2018 Registered 2018 Documents available 2 keys available,9.1,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-vezel-2015-for-sale-in-lahore-10839162,Honda Vezel Hybrid Z Style Edition 2015,2015,82442.0,1500.0,Automatic,Hybrid,5100000.0,"Honda Vezel hybrid Model 2015 top of the Z pkg S grade verified auction sheet available it's a totally eye-catching colour recently new tyres installed total genuine just half trunk shower due to scratches everything is perfect Allhamdullah fuel average around 20/km If call doesn’t connect, feel free to contact me on WhatsApp",8.7,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-n-wgn-2016-for-sale-in-karachi-10877833,Honda N Wgn G L Package 2016,2016,56187.0,660.0,Automatic,Petrol,2650000.0,Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2016 Import 2020 Registered 2020 1 key available,5.9,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-lahore-10787406,Honda Civic Oriel 1.8 i-VTEC CVT 2020,2020,86073.0,1800.0,Automatic,Petrol,5875000.0,Price is fixed agar samjh aye tou call kerey Civic UG Leather seats Sunroof Total Geneuin (one right back fender showered) Tires in great conditon,8.9,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-10823857,Honda Civic Oriel 1.8 i-VTEC CVT 2018,2018,82059.0,1800.0,Automatic,Petrol,5400000.0,- Ambient Lights - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 3rd Owner - Manufacture 2018 - Registered 2018 - 2 keys available,8.3,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-civic-2016-for-sale-in-lahore-10910236,Honda Civic VTi Oriel Prosmatec 1.8 i-VTEC 2016,2016,135936.0,1800.0,Automatic,Petrol,4850000.0,Documents available PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2016 Registered 2016 1 key available,8.6,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-lahore-10801349,Honda Civic VTi Prosmatec 1.8 i-VTEC 2013,2013,173516.0,1800.0,Automatic,Petrol,3100000.0,- LED lights installed - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 3rd Owner - Manufacture 2013 - Registered 2013 - 2 keys available,8.0,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-civic-2010-for-sale-in-gujranwala-10875266,Honda Civic VTi Oriel 1.8 i-VTEC 2010,2010,197579.0,1800.0,Manual,Petrol,2550000.0,shower for fresh look Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax Paid Manufacture 2010 Registered 2010 2 keys available,4.7,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-10836053,Honda Civic Oriel 1.8 i-VTEC CVT 2018,2018,51498.0,1800.0,Automatic,Petrol,5500000.0,- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 2nd Owner - Manufacture 2018 - Registered 2018 - 2 keys available,8.3,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-city-2011-for-sale-in-islamabad-10837453,Honda City 1.3 i-VTEC 2011,2011,243881.0,1300.0,Manual,Petrol,2700000.0,PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax Paid Manufacture 2011 Registered 2011 Documents available 2 keys available,5.2,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-city-2002-for-sale-in-lahore-10835946,Honda City EXi 2002,2002,420994.0,1300.0,Manual,Petrol,1050000.0,- Central Locking - Back Camera - Android Panel - Speakers - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 2nd Owner - Manufacture 2002 - Registered 2002 - 1 key available,2.7,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-karachi-10771405,Honda Civic Turbo 1.5 VTEC CVT 2017,2017,110383.0,1500.0,Automatic,Petrol,5100000.0,Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2017 Registered 2017 2 key available,7.9,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-n-wgn-2016-for-sale-in-lahore-10872889,Honda N Wgn G 2016,2016,175601.0,660.0,Automatic,Petrol,2700000.0,Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2016 Registered 2016 1 key available,6.4,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-vezel-2015-for-sale-in-islamabad-10797220,Honda Vezel 2015,2015,118019.0,1500.0,Automatic,Hybrid,4900000.0,Honda Vezel Hybrid Z Honda Sensing Documents available PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax Paid Manufacture 2015 Registered 2016 1 key available,7.9,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-br-v-2019-for-sale-in-karachi-10809172,Honda BR-V i-VTEC S 2019,2019,77464.0,1500.0,Automatic,Petrol,4500000.0,Floor matts Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2019 Registered 2019 2 keys available,8.4,gold_verified,,,
https://www.pakwheels.com/used-cars/honda-n-wgn-2020-for-sale-in-islamabad-10892393,Honda N Wgn L 2020,2020,53766.0,660.0,Automatic,Petrol,3429999.9999999995,Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2020 Registered 2024 1 key available Redar. Adoptive cruise control. Line Departure Assist. Line Keep Assist. Auto braking. Traction control. Rear parking sensor. Triptonic with pedel shifters. Sofa seat (Rear seat is moveable & Foldable). LED auto headlamp with hieght adjustment. Digital climate control. electronic hand brake with brake hold. Eco-idle Orginal Japanese sound system with multimedia control. Front Heated seats Sign board read.,7.1,gold_verified,,,
